review_id,review_text,star_rating,sentiment_label
REV-00001,"We had repeated issues, outages, and delayed responses. The product is frustrating and our team may cancel soon.",2,negative
REV-00002,Poor experience with confusing billing and missing features.,1,negative
REV-00003,Support answered eventually and the product is okay.,3,neutral
REV-00004,Great experience with fast fixes and clear communication.,4,positive
REV-00005,"The product feels stable, useful, and worth the price.",4,positive
REV-00006,"The automation feature works, but some workflows still feel slow.",3,neutral
REV-00007,Great experience with fast fixes and clear communication.,5,positive
REV-00008,"The product feels stable, useful, and worth the price.",5,positive
REV-00009,Critical bugs blocked our workflow for several days.,1,negative
REV-00010,"The billing flow works, but some workflows still feel slow.",3,neutral
REV-00011,"Excellent analytics module, smooth onboarding, and helpful support.",5,positive
REV-00012,"Excellent automation feature, smooth onboarding, and helpful support.",5,positive
REV-00013,"Nothing major went wrong, but nothing stood out either. The customer portal is usable, though reporting could improve.",3,neutral
REV-00014,"Critical bugs blocked our workflow for several days. We had repeated issues, outages, and delayed responses.",2,negative
REV-00015,The customer portal is reliable and the team responds quickly.,5,positive
REV-00016,Critical bugs blocked our workflow for several days.,2,negative
REV-00017,"The dashboard works, but some workflows still feel slow.",3,neutral
REV-00018,The product is frustrating and our team may cancel soon.,1,negative
REV-00019,Great experience with fast fixes and clear communication. Great experience with fast fixes and clear communication.,5,positive
REV-00020,"The billing flow works, but some workflows still feel slow.",3,neutral
REV-00021,We love the automation feature; it saves time every week.,4,positive
REV-00022,"The integration is reliable and the team responds quickly. The product feels stable, useful, and worth the price.",5,positive
REV-00023,"Average experience overall, with a few helpful features.",3,neutral
REV-00024,"The analytics module works, but some workflows still feel slow.",3,neutral
REV-00025,"The reporting tool is usable, though reporting could improve.",3,neutral
REV-00026,The billing flow is reliable and the team responds quickly.,4,positive
REV-00027,"The integration works, but some workflows still feel slow.",3,neutral
REV-00028,"The product feels stable, useful, and worth the price.",4,positive
REV-00029,"Average experience overall, with a few helpful features. The billing flow works, but some workflows still feel slow.",3,neutral
REV-00030,"The product feels stable, useful, and worth the price.",5,positive
REV-00031,The product is frustrating and our team may cancel soon.,1,negative
REV-00032,"Support answered eventually and the product is okay. Average experience overall, with a few helpful features.",3,neutral
REV-00033,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00034,"The integration is usable, though reporting could improve. Average experience overall, with a few helpful features.",3,neutral
REV-00035,Great experience with fast fixes and clear communication.,5,positive
REV-00036,Critical bugs blocked our workflow for several days.,1,negative
REV-00037,"Support answered eventually and the product is okay. Average experience overall, with a few helpful features.",3,neutral
REV-00038,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00039,Poor experience with confusing billing and missing features.,1,negative
REV-00040,Great experience with fast fixes and clear communication.,4,positive
REV-00041,"Average experience overall, with a few helpful features. Support answered eventually and the product is okay.",3,neutral
REV-00042,"We had repeated issues, outages, and delayed responses. The dashboard keeps failing and support has been slow.",2,negative
REV-00043,Poor experience with confusing billing and missing features.,1,negative
REV-00044,"Excellent integration, smooth onboarding, and helpful support.",4,positive
REV-00045,The reporting tool keeps failing and support has been slow.,1,negative
REV-00046,"Average experience overall, with a few helpful features.",3,neutral
REV-00047,We love the reporting tool; it saves time every week.,4,positive
REV-00048,"The analytics module is usable, though reporting could improve.",3,neutral
REV-00049,Critical bugs blocked our workflow for several days.,1,negative
REV-00050,"Excellent dashboard, smooth onboarding, and helpful support. The product feels stable, useful, and worth the price.",4,positive
REV-00051,Great experience with fast fixes and clear communication. Great experience with fast fixes and clear communication.,4,positive
REV-00052,Critical bugs blocked our workflow for several days. The automation feature keeps failing and support has been slow.,2,negative
REV-00053,"The integration works, but some workflows still feel slow.",3,neutral
REV-00054,"The product feels stable, useful, and worth the price.",5,positive
REV-00055,We love the customer portal; it saves time every week.,5,positive
REV-00056,"The billing flow works, but some workflows still feel slow.",3,neutral
REV-00057,The dashboard keeps failing and support has been slow.,1,negative
REV-00058,Poor experience with confusing billing and missing features.,2,negative
REV-00059,The product is frustrating and our team may cancel soon.,1,negative
REV-00060,The billing flow keeps failing and support has been slow.,2,negative
REV-00061,Poor experience with confusing billing and missing features.,2,negative
REV-00062,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00063,"The customer portal is usable, though reporting could improve.",3,neutral
REV-00064,Poor experience with confusing billing and missing features. The product is frustrating and our team may cancel soon.,1,negative
REV-00065,"The product feels stable, useful, and worth the price.",4,positive
REV-00066,"Average experience overall, with a few helpful features.",3,neutral
REV-00067,Critical bugs blocked our workflow for several days. Critical bugs blocked our workflow for several days.,1,negative
REV-00068,The dashboard is reliable and the team responds quickly.,5,positive
REV-00069,"The product feels stable, useful, and worth the price. Great experience with fast fixes and clear communication.",5,positive
REV-00070,The product is frustrating and our team may cancel soon.,1,negative
REV-00071,"The product feels stable, useful, and worth the price.",5,positive
REV-00072,The product is frustrating and our team may cancel soon.,1,negative
REV-00073,"Average experience overall, with a few helpful features. Average experience overall, with a few helpful features.",3,neutral
REV-00074,"Nothing major went wrong, but nothing stood out either. Average experience overall, with a few helpful features.",3,neutral
REV-00075,"The automation feature is usable, though reporting could improve.",3,neutral
REV-00076,The reporting tool keeps failing and support has been slow.,2,negative
REV-00077,Great experience with fast fixes and clear communication.,4,positive
REV-00078,"The product feels stable, useful, and worth the price.",5,positive
REV-00079,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00080,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00081,We love the billing flow; it saves time every week.,4,positive
REV-00082,"Excellent customer portal, smooth onboarding, and helpful support.",5,positive
REV-00083,"We love the automation feature; it saves time every week. Excellent billing flow, smooth onboarding, and helpful support.",5,positive
REV-00084,Critical bugs blocked our workflow for several days.,1,negative
REV-00085,The product is frustrating and our team may cancel soon.,1,negative
REV-00086,"We had repeated issues, outages, and delayed responses.",1,negative
REV-00087,Great experience with fast fixes and clear communication.,5,positive
REV-00088,Poor experience with confusing billing and missing features.,2,negative
REV-00089,"Excellent dashboard, smooth onboarding, and helpful support.",4,positive
REV-00090,"Average experience overall, with a few helpful features.",3,neutral
REV-00091,Poor experience with confusing billing and missing features.,2,negative
REV-00092,"Great experience with fast fixes and clear communication. The product feels stable, useful, and worth the price.",5,positive
REV-00093,"Excellent analytics module, smooth onboarding, and helpful support.",5,positive
REV-00094,Critical bugs blocked our workflow for several days.,1,negative
REV-00095,The billing flow is reliable and the team responds quickly.,4,positive
REV-00096,"The analytics module works, but some workflows still feel slow.",3,neutral
REV-00097,"Average experience overall, with a few helpful features.",3,neutral
REV-00098,"Average experience overall, with a few helpful features.",3,neutral
REV-00099,"The product feels stable, useful, and worth the price. We love the reporting tool; it saves time every week.",5,positive
REV-00100,Great experience with fast fixes and clear communication.,4,positive
REV-00101,Critical bugs blocked our workflow for several days.,2,negative
REV-00102,Great experience with fast fixes and clear communication.,5,positive
REV-00103,"Excellent integration, smooth onboarding, and helpful support. Great experience with fast fixes and clear communication.",5,positive
REV-00104,"Excellent reporting tool, smooth onboarding, and helpful support.",5,positive
REV-00105,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00106,The analytics module is reliable and the team responds quickly.,5,positive
REV-00107,Critical bugs blocked our workflow for several days.,1,negative
REV-00108,Great experience with fast fixes and clear communication.,5,positive
REV-00109,We love the billing flow; it saves time every week.,5,positive
REV-00110,The product is frustrating and our team may cancel soon.,2,negative
REV-00111,Support answered eventually and the product is okay.,3,neutral
REV-00112,"Excellent customer portal, smooth onboarding, and helpful support.",5,positive
REV-00113,The analytics module keeps failing and support has been slow.,1,negative
REV-00114,"The automation feature works, but some workflows still feel slow.",3,neutral
REV-00115,The product is frustrating and our team may cancel soon.,2,negative
REV-00116,Poor experience with confusing billing and missing features.,2,negative
REV-00117,The billing flow is reliable and the team responds quickly.,4,positive
REV-00118,Critical bugs blocked our workflow for several days.,1,negative
REV-00119,The product is frustrating and our team may cancel soon.,2,negative
REV-00120,"Average experience overall, with a few helpful features. Support answered eventually and the product is okay.",3,neutral
REV-00121,"Average experience overall, with a few helpful features. The reporting tool works, but some workflows still feel slow.",3,neutral
REV-00122,We love the reporting tool; it saves time every week. We love the customer portal; it saves time every week.,5,positive
REV-00123,"Average experience overall, with a few helpful features.",3,neutral
REV-00124,"The product feels stable, useful, and worth the price. The analytics module is reliable and the team responds quickly.",5,positive
REV-00125,The product is frustrating and our team may cancel soon.,1,negative
REV-00126,"Support answered eventually and the product is okay. The customer portal works, but some workflows still feel slow.",3,neutral
REV-00127,Critical bugs blocked our workflow for several days.,2,negative
REV-00128,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00129,The product is frustrating and our team may cancel soon. Critical bugs blocked our workflow for several days.,2,negative
REV-00130,The dashboard keeps failing and support has been slow.,2,negative
REV-00131,Support answered eventually and the product is okay.,3,neutral
REV-00132,Great experience with fast fixes and clear communication. We love the analytics module; it saves time every week.,4,positive
REV-00133,"We had repeated issues, outages, and delayed responses.",2,negative
REV-00134,"Excellent billing flow, smooth onboarding, and helpful support.",5,positive
REV-00135,"Excellent integration, smooth onboarding, and helpful support.",5,positive
REV-00136,"The billing flow works, but some workflows still feel slow. Support answered eventually and the product is okay.",3,neutral
REV-00137,"Average experience overall, with a few helpful features. The automation feature is usable, though reporting could improve.",3,neutral
REV-00138,"We had repeated issues, outages, and delayed responses.",1,negative
REV-00139,We love the integration; it saves time every week.,5,positive
REV-00140,We love the automation feature; it saves time every week.,5,positive
REV-00141,"Excellent reporting tool, smooth onboarding, and helpful support.",4,positive
REV-00142,The product is frustrating and our team may cancel soon. The product is frustrating and our team may cancel soon.,1,negative
REV-00143,"Nothing major went wrong, but nothing stood out either. Average experience overall, with a few helpful features.",3,neutral
REV-00144,Support answered eventually and the product is okay.,3,neutral
REV-00145,"Average experience overall, with a few helpful features.",3,neutral
REV-00146,The product is frustrating and our team may cancel soon.,2,negative
REV-00147,The customer portal keeps failing and support has been slow. Critical bugs blocked our workflow for several days.,1,negative
REV-00148,"The product feels stable, useful, and worth the price.",5,positive
REV-00149,Poor experience with confusing billing and missing features.,1,negative
REV-00150,Great experience with fast fixes and clear communication.,5,positive
REV-00151,The product is frustrating and our team may cancel soon. Poor experience with confusing billing and missing features.,1,negative
REV-00152,The integration is reliable and the team responds quickly.,5,positive
REV-00153,"Excellent integration, smooth onboarding, and helpful support.",5,positive
REV-00154,"We had repeated issues, outages, and delayed responses.",1,negative
REV-00155,"The product feels stable, useful, and worth the price.",4,positive
